Code,MarketDiv,Name,AppliedOn
4578,P,"Otsuka Holdings Co.,Ltd.","August 31, 2026"
2768,P,Sojitz Corporation,"August 31, 2026"
4612,P,"NIPPON PAINT HOLDINGS CO.,LTD.","August 31, 2026"
2801,P,KIKKOMAN CORPORATION,"August 31, 2026"
4613,P,"KANSAI PAINT CO.,LTD.","August 31, 2026"
2802,P,"Ajinomoto Co.,Inc.","August 31, 2026"
4626,P,"TAIYO HOLDINGS CO.,LTD.","August 31, 2026"
2811,P,"KAGOME CO.,LTD.","August 31, 2026"
4661,P,"ORIENTAL LAND CO.,LTD.","August 31, 2026"
2871,P,NICHIREI CORPORATION,"August 31, 2026"
4666,P,"PARK24 Co.,Ltd.","August 31, 2026"
2875,P,"TOYO SUISAN KAISHA,LTD.","August 31, 2026"
4680,P,ROUND ONE Corporation,"August 31, 2026"
2897,P,"NISSIN FOODS HOLDINGS CO.,LTD.","August 31, 2026"
4681,P,"RESORTTRUST,INC.","August 31, 2026"
2914,P,JAPAN TOBACCO INC.,"August 31, 2026"
4684,P,"OBIC Co.,Ltd.","August 31, 2026"
3003,P,"Hulic Co.,Ltd.","August 31, 2026"
4686,P,JUSTSYSTEMS CORPORATION,"August 31, 2026"
3038,P,"KOBE BUSSAN CO.,LTD.","August 31, 2026"
4689,P,LY Corporation,"August 31, 2026"
3064,P,"MonotaRO Co.,Ltd.","August 31, 2026"
4704,P,Trend Micro Incorporated,"August 31, 2026"
3086,P,"J.FRONT RETAILING Co.,Ltd.","August 31, 2026"
4716,S,ORACLE CORPORATION JAPAN,"August 31, 2026"
3088,P,MatsukiyoCocokara & Co.,"August 31, 2026"
4722,P,Future Corporation,"August 31, 2026"
3092,P,"ZOZO,Inc.","August 31, 2026"
4732,P,"USS Co.,Ltd.","August 31, 2026"
3099,P,Isetan Mitsukoshi Holdings Ltd.,"August 31, 2026"
4733,P,"OBIC BUSINESS CONSULTANTS CO.,LTD.","August 31, 2026"
3107,P,"Daiwabo Holdings Co.,Ltd.","August 31, 2026"
4751,P,"CyberAgent,Inc.","August 31, 2026"
3110,P,"NITTO BOSEKI CO.,LTD.","August 31, 2026"
4768,P,OTSUKA CORPORATION,"August 31, 2026"
3116,P,TOYOTA BOSHOKU CORPORATION,"August 31, 2026"
4812,P,DENTSU SOKEN INC.,"August 31, 2026"
3132,P,"MACNICA HOLDINGS,INC.","August 31, 2026"
4816,S,"TOEI ANIMATION CO.,LTD.","August 31, 2026"
4901,P,FUJIFILM Holdings Corporation,"August 31, 2026"
6724,P,SEIKO EPSON CORPORATION,"August 31, 2026"
4966,S,"C.Uyemura & Co.,Ltd.","August 31, 2026"
6728,P,"ULVAC, Inc.","August 31, 2026"
4980,P,Dexerials Corporation,"August 31, 2026"
6752,P,Panasonic Holdings Corporation,"August 31, 2026"
5019,P,"Idemitsu Kosan Co.,Ltd.","August 31, 2026"
6758,P,SONY GROUP CORPORATION,"August 31, 2026"
5020,P,"ENEOS Holdings,Inc.","August 31, 2026"
6762,P,TDK Corporation,"August 31, 2026"
5021,P,"COSMO ENERGY HOLDINGS COMPANY,LIMITED","August 31, 2026"
6787,P,"Meiko Electronics Co.,Ltd.","August 31, 2026"
5032,P,ANYCOLOR Inc.,"August 31, 2026"
6806,P,"HIROSE ELECTRIC CO.,LTD.","August 31, 2026"
5076,P,INFRONEER Holdings Inc.,"August 31, 2026"
6841,P,YOKOGAWA ELECTRIC CORPORATION,"August 31, 2026"
5101,P,"The Yokohama Rubber Company,Limited","August 31, 2026"
6845,P,Azbil Corporation,"August 31, 2026"
5105,P,Toyo Tire Corporation,"August 31, 2026"
6856,P,"HORIBA,Ltd.","August 31, 2026"
5108,P,BRIDGESTONE CORPORATION,"August 31, 2026"
6857,P,ADVANTEST CORPORATION,"August 31, 2026"
5332,P,TOTO LTD.,"August 31, 2026"
6861,P,KEYENCE CORPORATION,"August 31, 2026"
5333,P,NGK Corporation,"August 31, 2026"
6869,P,SYSMEX CORPORATION,"August 31, 2026"
5334,P,"Niterra Co.,Ltd.","August 31, 2026"
6871,P,"MICRONICS JAPAN CO.,LTD.","August 31, 2026"
5344,P,"MARUWA CO.,LTD.","August 31, 2026"
6902,P,DENSO CORPORATION,"August 31, 2026"
5393,P,NICHIAS CORPORATION,"August 31, 2026"
6920,P,Lasertec Corporation,"August 31, 2026"
5401,P,NIPPON STEEL CORPORATION,"August 31, 2026"
6951,P,JEOL Ltd.,"August 31, 2026"
5406,P,"Kobe Steel,Ltd.","August 31, 2026"
6954,P,FANUC CORPORATION,"August 31, 2026"
5411,P,"JFE Holdings,Inc.","August 31, 2026"
6960,S,"FUKUDA DENSHI CO.,LTD.","August 31, 2026"
5471,P,"Daido Steel Co.,Ltd.","August 31, 2026"
6965,P,HAMAMATSU PHOTONICS K.K.,"August 31, 2026"
5706,P,"Mitsui Kinzoku Company,Limited","August 31, 2026"
6981,P,"Murata Manufacturing Co.,Ltd.","August 31, 2026"
5713,P,"Sumitomo Metal Mining Co.,Ltd.","August 31, 2026"
6988,P,NITTO DENKO CORPORATION,"August 31, 2026"
5714,P,"DOWA HOLDINGS CO.,LTD.","August 31, 2026"
7003,P,"MITSUI E&S Co.,Ltd.","August 31, 2026"
5741,P,UACJ Corporation,"August 31, 2026"
7011,P,"Mitsubishi Heavy Industries,Ltd.","August 31, 2026"
5801,P,"Furukawa Electric Co.,Ltd.","August 31, 2026"
7012,P,"Kawasaki Heavy Industries,Ltd.","August 31, 2026"
5802,P,"Sumitomo Electric Industries,Ltd.","August 31, 2026"
7013,P,IHI Corporation,"August 31, 2026"
5803,P,Fujikura Ltd.,"August 31, 2026"
7014,S,"Namura Shipbuilding Co.,Ltd.","August 31, 2026"
5805,P,SWCC Corporation,"August 31, 2026"
7148,P,"Financial Partners Group Co.,Ltd.","August 31, 2026"
5838,P,"Rakuten Bank,Ltd.","August 31, 2026"
7164,P,"ZENKOKU HOSHO Co.,Ltd.","August 31, 2026"
5857,P,"ARE Holdings,Inc.","August 31, 2026"
7167,P,"Mebuki Financial Group,Inc.","August 31, 2026"
5929,P,Sanwa Holdings Corporation,"August 31, 2026"
7173,P,"Tokyo Kiraboshi Financial Group,Inc.","August 31, 2026"
5947,P,RINNAI CORPORATION,"August 31, 2026"
7186,P,"Yokohama Financial Group,Inc.","August 31, 2026"
5991,P,"NHK SPRING CO.,LTD.","August 31, 2026"
7202,P,ISUZU MOTORS LIMITED,"August 31, 2026"
6005,P,"MIURA CO.,LTD.","August 31, 2026"
7203,P,TOYOTA MOTOR CORPORATION,"August 31, 2026"
6098,P,"Recruit Holdings Co.,Ltd.","August 31, 2026"
7211,P,MITSUBISHI MOTORS CORPORATION,"August 31, 2026"
6101,P,TSUGAMI CORPORATION,"August 31, 2026"
7259,P,AISIN CORPORATION,"August 31, 2026"
6113,P,"AMADA CO.,LTD.","August 31, 2026"
7261,P,Mazda Motor Corporation,"August 31, 2026"
6141,P,"DMG MORI CO.,LTD.","August 31, 2026"
7267,P,"HONDA MOTOR CO.,LTD.","August 31, 2026"
6146,P,DISCO CORPORATION,"August 31, 2026"
7269,P,SUZUKI MOTOR CORPORATION,"August 31, 2026"
6254,P,"Nomura Micro Science Co.,Ltd.","August 31, 2026"
7270,P,SUBARU CORPORATION,"August 31, 2026"
6269,P,"MODEC,INC.","August 31, 2026"
7272,P,"Yamaha Motor Co.,Ltd.","August 31, 2026"
6273,P,SMC CORPORATION,"August 31, 2026"
7282,P,"TOYODA GOSEI CO.,LTD.","August 31, 2026"
6301,P,KOMATSU LTD.,"August 31, 2026"
7309,P,SHIMANO INC.,"August 31, 2026"
6305,P,"Hitachi Construction Machinery Co.,Ltd.","August 31, 2026"
7419,P,"Nojima Co.,Ltd.","August 31, 2026"
6323,P,RORZE CORPORATION,"August 31, 2026"
7453,P,"RYOHIN KEIKAKU CO.,LTD.","August 31, 2026"
6326,P,KUBOTA CORPORATION,"August 31, 2026"
7532,P,Pan Pacific International Holdings Corporation,"August 31, 2026"
6361,P,EBARA CORPORATION,"August 31, 2026"
7550,P,"ZENSHO HOLDINGS CO.,LTD.","August 31, 2026"
6367,P,"DAIKIN INDUSTRIES,LTD.","August 31, 2026"
7564,S,"WORKMAN CO.,LTD.","August 31, 2026"
6368,P,ORGANO CORPORATION,"August 31, 2026"
7599,P,IDOM Inc.,"August 31, 2026"
6383,P,"DAIFUKU CO.,LTD.","August 31, 2026"
7649,P,"SUGI HOLDINGS Co.,LTD.","August 31, 2026"
6417,P,"SANKYO CO.,LTD.","August 31, 2026"
7701,P,Shimadzu Corporation,"August 31, 2026"
6432,P,"TAKEUCHI MFG.CO.,LTD.","August 31, 2026"
7729,P,"TOKYO SEIMITSU CO.,LTD.","August 31, 2026"
6436,P,Amano Corporation,"August 31, 2026"
7733,P,OLYMPUS CORPORATION,"August 31, 2026"
6448,P,"BROTHER INDUSTRIES,LTD.","August 31, 2026"
7735,P,"SCREEN Holdings Co.,Ltd.","August 31, 2026"
6457,P,GLORY LTD.,"August 31, 2026"
7740,P,"Tamron Co.,Ltd.","August 31, 2026"
6460,P,SEGA SAMMY HOLDINGS INC.,"August 31, 2026"
7741,P,HOYA CORPORATION,"August 31, 2026"
6465,P,HOSHIZAKI CORPORATION,"August 31, 2026"
7747,P,"ASAHI INTECC CO.,LTD.","August 31, 2026"
6479,P,MINEBEA MITSUMI Inc.,"August 31, 2026"
7751,P,CANON INC.,"August 31, 2026"
6501,P,"Hitachi,Ltd.","August 31, 2026"
7762,P,"Citizen Watch Co.,Ltd.","August 31, 2026"
6503,P,Mitsubishi Electric Corporation,"August 31, 2026"
7832,P,Bandai Namco Holdings Inc.,"August 31, 2026"
6504,P,"FUJI ELECTRIC CO.,LTD.","August 31, 2026"
7867,P,"TOMY COMPANY,LTD.","August 31, 2026"
6506,P,YASKAWA Electric Corporation,"August 31, 2026"
7906,S,"YONEX CO.,LTD.","August 31, 2026"
6507,P,"SINFONIA TECHNOLOGY CO.,LTD.","August 31, 2026"
7912,P,"Dai Nippon Printing Co.,Ltd.","August 31, 2026"
6508,P,MEIDENSHA CORPORATION,"August 31, 2026"
7936,P,ASICS Corporation,"August 31, 2026"
6526,P,Socionext Inc.,"August 31, 2026"
7974,P,"Nintendo Co.,Ltd.","August 31, 2026"
6532,P,"BayCurrent,Inc.","August 31, 2026"
7988,P,NIFCO INC.,"August 31, 2026"
6544,P,"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD.","August 31, 2026"
7994,P,OKAMURA CORPORATION,"August 31, 2026"
6586,P,Makita Corporation,"August 31, 2026"
8001,P,ITOCHU Corporation,"August 31, 2026"
6590,P,SHIBAURA MECHATRONICS CORPORATION,"August 31, 2026"
8002,P,Marubeni Corporation,"August 31, 2026"
6632,P,JVCKENWOOD Corporation,"August 31, 2026"
8015,P,TOYOTA TSUSHO CORPORATION,"August 31, 2026"
6674,P,GS Yuasa Corporation,"August 31, 2026"
8020,P,KANEMATSU CORPORATION,"August 31, 2026"
6701,P,NEC Corporation,"August 31, 2026"
8031,P,"MITSUI & CO.,LTD.","August 31, 2026"
6702,P,Fujitsu Limited,"August 31, 2026"
8035,P,Tokyo Electron Limited,"August 31, 2026"
6703,P,"Oki Electric Industry Company,Limited","August 31, 2026"
8050,P,SEIKO GROUP CORPORATION,"August 31, 2026"
6723,P,Renesas Electronics Corporation,"August 31, 2026"
8053,P,"SUMITOMO CORPORATION (SUMITOMO SHOJI KAISHA,LTD.)","August 31, 2026"
8056,P,BIPROGY Inc.,"August 31, 2026"
9006,P,Keikyu Corporation,"August 31, 2026"
8058,P,Mitsubishi Corporation,"August 31, 2026"
9007,P,"Odakyu Electric Railway Co.,Ltd.","August 31, 2026"
8060,P,Canon Marketing Japan Inc.,"August 31, 2026"
9008,P,Keio Corporation,"August 31, 2026"
8078,P,"HANWA CO.,LTD.","August 31, 2026"
9009,P,"Keisei Electric Railway Co.,Ltd.","August 31, 2026"
8088,P,IWATANI  CORPORATION,"August 31, 2026"
9021,P,West Japan Railway Company,"August 31, 2026"
8098,P,"Inabata & Co.,Ltd.","August 31, 2026"
9022,P,Central Japan Railway Company,"August 31, 2026"
8111,P,Goldwin Inc.,"August 31, 2026"
9024,P,SEIBU HOLDINGS INC.,"August 31, 2026"
8113,P,UNICHARM CORPORATION,"August 31, 2026"
9031,P,"Nishi-Nippon Railroad Co.,Ltd.","August 31, 2026"
8130,P,Sangetsu Corporation,"August 31, 2026"
9041,P,"Kintetsu Group Holdings Co.,Ltd.","August 31, 2026"
8133,P,"ITOCHU ENEX CO.,LTD.","August 31, 2026"
9045,P,"Keihan Holdings Co.,Ltd.","August 31, 2026"
8136,P,"Sanrio Company,Ltd.","August 31, 2026"
9065,P,SANKYU INC.,"August 31, 2026"
8154,P,"KAGA ELECTRONICS CO.,LTD.","August 31, 2026"
9069,P,"SENKO Group Holdings Co.,Ltd.","August 31, 2026"
8174,P,"NIPPON GAS CO.,LTD.","August 31, 2026"
9101,P,Nippon Yusen Kabushiki Kaisha,"August 31, 2026"
8194,P,LIFE CORPORATION,"August 31, 2026"
9104,P,"Mitsui O.S.K.Lines,Ltd.","August 31, 2026"
8227,P,"SHIMAMURA Co.,Ltd.","August 31, 2026"
9107,P,"Kawasaki Kisen Kaisha,Ltd.","August 31, 2026"
8242,P,H2O RETAILING CORPORATION,"August 31, 2026"
9110,P,"NS United Kaiun Kaisha,Ltd.","August 31, 2026"
8252,P,"MARUI GROUP CO.,LTD.","August 31, 2026"
9142,P,Kyushu Railway Company,"August 31, 2026"
8253,P,"Credit Saison Co.,Ltd.","August 31, 2026"
9143,P,"SG HOLDINGS CO.,LTD.","August 31, 2026"
8306,P,"Mitsubishi UFJ Financial Group,Inc.","August 31, 2026"
9201,P,"Japan Airlines Co.,Ltd.","August 31, 2026"
8308,P,"Resona Holdings, Inc.","August 31, 2026"
9202,P,ANA HOLDINGS INC.,"August 31, 2026"
8309,P,"Sumitomo Mitsui Trust Group,Inc.","August 31, 2026"
9336,P,"Daiei Kankyo Co.,Ltd.","August 31, 2026"
8316,P,"Sumitomo Mitsui Financial Group,Inc.","August 31, 2026"
9418,P,"U-NEXT HOLDINGS Co.,Ltd.","August 31, 2026"
8331,P,"The Chiba Bank,Ltd.","August 31, 2026"
9432,P,"NTT,Inc.","August 31, 2026"
8334,P,"The Gunma Bank,Ltd.","August 31, 2026"
9434,P,SoftBank Corp.,"August 31, 2026"
8354,P,"Fukuoka Financial Group,Inc.","August 31, 2026"
9435,P,"HIKARI TSUSHIN,INC.","August 31, 2026"
8411,P,"Mizuho Financial Group,Inc.","August 31, 2026"
9449,P,"GMO internet group,Inc.","August 31, 2026"
8424,P,"Fuyo General Lease Co.,Ltd.","August 31, 2026"
9502,P,"Chubu Electric Power Company,Incorporated","August 31, 2026"
8425,P,"Mizuho Leasing Company,Limited","August 31, 2026"
9503,P,"The Kansai Electric Power Company,Incorporated","August 31, 2026"
8439,P,Tokyo Century Corporation,"August 31, 2026"
9504,P,"The Chugoku Electric Power Company,Incorporated","August 31, 2026"
8473,P,"SBI Holdings,Inc.","August 31, 2026"
9505,P,Hokuriku Electric Power Company,"August 31, 2026"
8572,S,"ACOM CO.,LTD.","August 31, 2026"
9506,P,"Tohoku Electric Power Company,Incorporated","August 31, 2026"
8591,P,ORIX CORPORATION,"August 31, 2026"
9507,P,"Shikoku Electric Power Company,Incorporated","August 31, 2026"
8593,P,Mitsubishi HC Capital Inc.,"August 31, 2026"
9508,P,"Kyushu Electric Power Company,Incorporated","August 31, 2026"
8601,P,Daiwa Securities Group Inc.,"August 31, 2026"
9509,P,"Hokkaido Electric Power Company,Incorporated","August 31, 2026"
8604,P,"Nomura Holdings, Inc.","August 31, 2026"
9513,P,"Electric Power Development Co.,Ltd.","August 31, 2026"
8628,P,"MATSUI SECURITIES CO.,LTD.","August 31, 2026"
9531,P,"TOKYO GAS CO.,LTD.","August 31, 2026"
8630,P,"Sompo Holdings,Inc.","August 31, 2026"
9532,P,"OSAKA GAS CO.,LTD.","August 31, 2026"
8697,P,"Japan Exchange Group,Inc.","August 31, 2026"
9602,P,"TOHO CO.,LTD","August 31, 2026"
8725,P,"MS&AD Insurance Group Holdings,Inc.","August 31, 2026"
9616,P,"KYORITSU MAINTENANCE CO.,LTD.","August 31, 2026"
8750,P,"Daiichi Life Group,Inc.","August 31, 2026"
9682,P,DTS CORPORATION,"August 31, 2026"
8766,P,"Tokio Marine Holdings,Inc.","August 31, 2026"
9684,P,"SQUARE ENIX HOLDINGS CO.,LTD.","August 31, 2026"
8795,P,"T&D Holdings, Inc.","August 31, 2026"
9697,P,"CAPCOM CO.,LTD.","August 31, 2026"
8801,P,"Mitsui Fudosan Co.,Ltd.","August 31, 2026"
9706,P,"Japan Airport Terminal Co.,ltd.","August 31, 2026"
8802,P,"Mitsubishi Estate Company,Limited","August 31, 2026"
9735,P,"SECOM CO.,LTD.","August 31, 2026"
8804,P,"Tokyo Tatemono Co.,Ltd.","August 31, 2026"
9744,P,MEITEC Group Holdings Inc.,"August 31, 2026"
8830,P,"Sumitomo Realty & Development Co.,Ltd.","August 31, 2026"
9759,P,"NSD CO.,LTD.","August 31, 2026"
8848,P,LEOPALACE21 CORPORATION,"August 31, 2026"
9766,P,KONAMI GROUP CORPORATION,"August 31, 2026"
8850,P,STARTS CORPORATION INC.,"August 31, 2026"
9843,P,"Nitori Holdings Co.,Ltd.","August 31, 2026"
8876,P,"Relo Group,Inc.","August 31, 2026"
9934,P,"INABA DENKISANGYO CO.,LTD.","August 31, 2026"
8919,P,"KATITAS CO.,LTD","August 31, 2026"
9962,P,MISUMI Group Inc.,"August 31, 2026"
8923,P,TOSEI CORPORATION,"August 31, 2026"
9983,P,"FAST RETAILING CO.,LTD.","August 31, 2026"
8934,P,"Sun Frontier Fudousan Co.,Ltd.","August 31, 2026"
9984,P,SoftBank Group Corp.,"August 31, 2026"
9001,P,"TOBU RAILWAY CO.,LTD.","August 31, 2026"
9989,P,"SUNDRUG CO.,LTD.","August 31, 2026"
9003,P,"Sotetsu Holdings,Inc.","August 31, 2026"
417A,P,"BLUE ZONES HOLDINGS CO.,LTD.","August 31, 2026"
9005,P,TOKYU CORPORATION,"August 31, 2026"
547A,P,Muninova Holdings Inc.,"August 31, 2026"
